[import] Sweeping 973 files across 7 workers
[import] [60/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common/Src/errno.c preset=dolphin  ver=1.3.2   0/0      ·
[import] [61/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common/Src/buffer_io.c preset=dolphin  ver=1.3.2   2/2      ✓
[import] [62/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common/Src/float.c preset=dolphin  ver=1.3.2   0/0      ·
[import] [63/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common/Src/arith.c preset=dolphin  ver=1.3.2   2/3      ✓
[import] [64/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common/Src/direct_io.c preset=dolphin  ver=1.3.2   0/2      ·
[import] [65/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common/Src/file_io.c preset=dolphin  ver=1.3.2   0/2      ·
[import] [66/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common/Src/alloc.c preset=dolphin  ver=1.3.2   0/6      ·
[import] [67/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common/Src/misc_io.c preset=dolphin  ver=1.3.2   0/1      ·
[import] [68/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common/Src/scanf.c preset=dolphin  ver=1.3.2   1/1      ✓
[import] [69/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common/Src/mem.c preset=dolphin  ver=1.3.2   3/4      ✓
[import] [70/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common/Src/mem_funcs.c preset=dolphin  ver=2.0     4/4      ✓
[import] [71/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common/Src/wchar_io.c preset=dolphin  ver=1.3.2   1/1      ✓
[import] [72/973] src/PowerPC_EABI_Support/MSL/MSL_C/MSL_Common_Embedded/Math/Double_precision/e_acos.c preset=dolphin  ver=1.3.2   0/1      ·
